Symbol Name, Symbol Address, Function Size, Matched
__check_pad3,80004000,24,false
__set_debug_bba,80004030,C,false
__get_debug_bba,80004040,8,false
__start,80004050,168,false
sub_800041C0,800041C0,44,false
__init_registers,80004210,90,false
__init_data,800042A0,BC,false
__init_hardware,80004360,24,false
__flush_cache,80004390,34,false
memcpy,800043C4,29C,false
sub_80004660,80004660,B4,false
memset,80004714,30,false
__ct__Q29JGeometry64TPosition3_Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f___Fv,80006EA0,4,false
__ct__Q29JGeometry8TVec3_f_Ff,80006EB0,10,false
identity__Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f__Fv,80006EC0,3C,false
mult__Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f__CFRCQ29JGeometry8TVec3_f_RQ29JGeometry8TVec3_f_,80006F00,90,false
set_f___Q29JGeometry8TVec3_f_Ffff_v,80006F90,10,false
multTranspose__Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f__CFRCQ29JGeometry8TVec3_f_RQ29JGeometry8TVec3_f_,80006FA0,B8,false
invert__Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f__FRCQ29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f__,80007060,2E4,false
epsilonEquals__Q29JGeometry8TUtil_f_Ffff,80007350,2C,false
concat__Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f__FRCQ29JGeometry13SMatrix34C_f_RCQ29JGeometry13SMatrix34C_f_,80007380,2AC,false
set__Q29JGeometry13SMatrix34C_f_Fffffffffffff,80007630,44,false
concat__Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f__FRCQ29JGeometry13SMatrix34C_f_,80007680,2AC,false
getQuat__Q29JGeometry64TRotation3_Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f___CFRQ29JGeometry9TQuat4_f_,80007930,22C,false
sqrt__Q29JGeometry8TUtil_f_Ff,80007B60,3C,false
set_f___Q29JGeometry8TVec4_f_Fffff_v,80007BA0,14,false
setEuler__Q29JGeometry9TQuat4_f_Ffff,80007BC0,144,false
setRotate__Q29JGeometry9TQuat4_f_FRCQ29JGeometry8TVec3_f_RCQ29JGeometry8TVec3_f_,80007D10,114,false
slerp__Q29JGeometry9TQuat4_f_FRCQ29JGeometry9TQuat4_f_f,80007E30,1E8,false
normalize__Q29JGeometry9TQuat4_f_FRCQ29JGeometry9TQuat4_f_,80008020,D0,false
getEuler__Q29JGeometry9TQuat4_f_CFRQ29JGeometry8TVec3_f_,800080F0,230,false
__as__Q29JGeometry9TQuat4_f_FRCQ29JGeometry9TQuat4_f_,80008320,24,false
getSoundHandleCount__2MRFPC9LiveActor,80008350,1C,false
sub_80008370,80008370,1C,false
startLevelSound__2MRFPC9LiveActorPCclll,80008390,5C,false
sub_800083F0,800083F0,60,false
sub_80008450,80008450,60,false
sub_800084B0,800084B0,60,false
sub_80008510,80008510,4C,false
sub_80008560,80008560,3C,false
sub_800085A0,800085A0,10,false
sub_800085C0,800085C0,10,false
sub_800085E0,800085E0,10,false
sub_80008600,80008600,78,false
sub_80008680,80008680,10,false
changeBckForEffectKeeper__27_unnamed_LiveActorUtil_cpp_FPC9LiveActor,800086A0,10,false
startBck__2MRFPC9LiveActorPCcPCc,800086C0,68,false
isBckStopped__2MRFPC9LiveActor,80008730,8,false
sub_80008740,80008740,C4,false
startAction__2MRFPC9LiveActorPCc,80008810,78,false
sub_80008890,80008890,37C,false
tryStartActionNotPlaying__2MRFPC9LiveActorPCc,80008C10,58,false
tryStartAllAnim__2MRFPC9LiveActorPCc,80008C70,58,false
isActionEnd__2MRFPC9LiveActor,80008CD0,E8,false
isAnyAnimPlaying__2MRFPC9LiveActorPCc,80008DC0,134,false
sub_80008F00,80008F00,24,false
startBckWithInterpole__2MRFPC9LiveActorPCcl,80008F30,68,false
startBckNoInterpole__2MRFPC9LiveActorPCc,80008FA0,6C,false
startBckAtFirstStep__2MRFPC9LiveActorPCc,80009010,7C,false
tryStartBck__2MRFPC9LiveActorPCcPCc,80009090,94,false
tryStartBckAndBtp__2MRFPC9LiveActorPCcPCc,80009130,6C,false
setAllAnimFrame__2MRFPC9LiveActorPCcf,800091A0,F8,false
setAllAnimFrameAndStop__2MRFPC9LiveActorPCcf,800092A0,110,false
setAllAnimFrameAtEnd__2MRFPC9LiveActorPCc,800093B0,1B8,false
sub_80009570,80009570,60,false
sub_800095D0,800095D0,44,false
sub_80009620,80009620,30,false
isAnyAnimStopped__2MRFPC9LiveActorPCc,80009660,138,false
isAnyAnimOneTimeAndStopped__2MRFPC9LiveActorPCc,800097A0,138,false
isBtkStopped__2MRFPC9LiveActor,800098E0,8,false
isBrkStopped__2MRFPC9LiveActor,800098F0,8,false
isBtpStopped__2MRFPC9LiveActor,80009900,8,false
isBpkStopped__2MRFPC9LiveActor,80009910,8,false
isBvaStopped__2MRFPC9LiveActor,80009920,8,false
isBckOneTimeAndStopped__2MRFPC9LiveActor,80009930,8,false
isBtkOneTimeAndStopped__2MRFPC9LiveActor,80009940,8,false
isBrkOneTimeAndStopped__2MRFPC9LiveActor,80009950,8,false
isBckLooped__2MRFPC9LiveActor,80009960,2C,false
checkPassBckFrame__2MRFPC9LiveActorf,80009990,44,false
setBckFrameAtRandom__2MRFPC9LiveActor,800099E0,8C,false
setBtkFrameAtRandom__2MRFPC9LiveActor,80009A70,A0,false
setBckFrameAndStop__2MRFPC9LiveActorf,80009B10,3C,false
setBtkFrameAndStop__2MRFPC9LiveActorf,80009B50,58,false
setBrkFrameAndStop__2MRFPC9LiveActorf,80009BB0,58,false
setBtpFrameAndStop__2MRFPC9LiveActorf,80009C10,58,false
setBpkFrameAndStop__2MRFPC9LiveActorf,80009C70,58,false
setBvaFrameAndStop__2MRFPC9LiveActorf,80009CD0,58,false
setBckFrameEndAndStop__2MRFPC9LiveActor,80009D30,6C,false
setBrkFrameEndAndStop__2MRFPC9LiveActor,80009DA0,80,false
startBckAndSetFrameAndStop__2MRFPC9LiveActorPCcf,80009E20,98,false
startBtkAndSetFrameAndStop__2MRFPC9LiveActorPCcf,80009EC0,48,false
startBrkAndSetFrameAndStop__2MRFPC9LiveActorPCcf,80009F10,48,false
